Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann",Hilda Rosner,"=""""","=""""",5,Bantam Books,Mass Market Paperback,152,1981,1922,2019/03/07,2019/03/07,,,read,,,,1,0
21535019,"The Long Haul (Diary of a Wimpy Kid, #9)",Jeff Kinney,"Kinney, Jeff",,"=""141971189X""","=""9781419711893""",4,Amulet Books,Hardcover,217,2014,2014,2017/01/01,2017/10/14,,,read,,,,1,0
7170627,The Emperor of All Maladies: A Biography of Cancer,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""""","=""""",0,Scribner,Hardcover,472,2010,2010,,2019/03/06,to-read,to-read (#8),to-read,,,,0,0
27276428,The Gene: An Intimate History,Siddhartha Mukherjee,"Mukherjee, Siddhartha",,"=""""","=""""",0,Scribner,Hardcover,592,2016,2016,,2019/03/06,to-read,to-read (#7),to-read,,,,0,0
31138556,Homo Deus: A History of Tomorrow,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,Harper,ebook,450,2017,2015,,2019/03/06,to-read,to-read (#6),to-read,,,,0,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",0,Vintage,Paperback,512,2015,2011,,2019/03/06,to-read,to-read (#5),to-read,,,,0,0
36204285,Origin Story: A Big History of Everything,David Christian,"Christian, David",,"=""0316392006""","=""9780316392006""",0,"Little, Brown Spark",Hardcover,357,2018,2008,,2019/03/06,to-read,to-read (#4),to-read,,,,0,0
69571,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money—That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""0751532711""","=""9780751532715""",4,Time Warner Books UK,Paperback,195,2002,1997,2019/02/22,2017/04/23,,,read,,,,2,0
905654,Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets,Nassim Nicholas Taleb,"Taleb, Nassim Nicholas",,"=""0141031484""","=""9780141031484""",4,Penguin,Paperback,368,2007,2001,2019/03/01,2019/03/05,,,read,,,,1,0
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham   Verghese,"=""0812988418""","=""9780812988413""",4,Random House,Kindle Edition,208,2016,2016,2019/03/03,2019/03/05,,,read,,,,1,0
41056156,Pyjamas are Forgiving [Paperback] TWINKLE KHANNA,Twinkle Khanna,"Khanna, Twinkle",,"=""9386228971""","=""9789386228970""",4,Juggernaut Publication- India,Paperback,256,2018,,2019/03/06,2019/03/05,,,read,,,,1,0
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"Covey, Stephen R.",Jim Collins,"=""0743269519""","=""9780743269513""",2,Free Press,Paperback,372,2004,1989,2017/01/01,2017/04/23,,,read,,,,1,0
23150337,Playing It My Way: My Autobiography,Sachin Tendulkar,"Tendulkar, Sachin",Boria Majumdar,"=""""","=""""",3,Hachette,Hardcover,486,2014,2014,2017/01/25,2017/04/23,,,read,,,,1,0
31557698,One Indian Girl,Chetan Bhagat,"Bhagat, Chetan",,"=""8129142147""","=""9788129142146""",3,Rupa Publications India,Paperback,272,2016,2016,2016/12/29,2017/04/23,,,read,,,,1,0
2429135,"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,"Larsson, Stieg",Reg Keeland,"=""0670069019""","=""9780670069019""",4,Viking Canada,Hardcover,480,2008,2005,2017/08/10,2017/07/21,,,read,,,,1,0
1768603,The White Tiger,Aravind Adiga,"Adiga, Aravind",,"=""1416562591""","=""9781416562597""",4,Free Press,Hardcover,288,2008,2008,2017/01/01,2017/07/24,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,Scholastic Inc.,Mass Market Paperback,547,2004,1999,2017/01/01,2017/09/16,,,read,,,,1,0
